Data Source name,Date,Campaign Name,Campaign Effective Status,Ad Set Name,Ad Name,Country Funnel,Geo Location Segment,FB Spent Funnel (INR),Amount Spent (INR),Clicks (all),Impressions,Page Likes,Landing Page Views,Link Clicks,Adds to Cart,Checkouts Initiated,Adds of Payment Info,Purchases,Purchases Conversion Value (INR),Website Contacts,Messaging Conversations Started,Adds to Cart Conversion Value (INR),Checkouts Initiated Conversion Value (INR),Adds of Payment Info Conversion Value (INR),Row Count,Date_Original,flag_invalid_date,flag_outlier_Amount_Spent_INR,flag_outlier_Purchases_Conversion_Value_INR,flag_outlier_Adds_to_Cart_Conversion_Value_INR,flag_outlier_Checkouts_Initiated_Conversion_Value_INR,flag_outlier_Adds_of_Payment_Info_Conversion_Value_INR,CTR,CPC,CPM,ROAS,ROI,CVR,AOV,flag_zero_impressions,flag_zero_clicks,flag_zero_spend,flag_missing_campaign_name,flag_spend_outlier
Brand A,2026-01-02,Unknown,Paused,Tof | Lal 3-5% | Sales | Womens,Custom | Video 2 | Eoss | 15Th Dec 25 – Copy,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,02-01-2026,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,False
Brand A,2026-01-03,Growify | 11Th June | Tof | Abo | India | Lal 3% - 5% | Sales,Paused,Tof | Lal 3-5% | Sales | Womens,Custom | Video 2 | Eoss | 15Th Dec 25 – Copy,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,03-01-2026,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False
Unknown,2026-01-20,Growify | 11Th June | Tof | Abo | India | Lal 3% - 5% | Sales,Paused,Unknown,Unknown,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20-01-2026,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False
Brand A,2026-01-01,Growify | 11Th June | Tof | Abo | India | Lal 3% - 5% | Sales,Unknown,Tof | Lal 3-5% | Sales | Womens,Custom | Video 2 | Eoss | 15Th Dec 25 – Copy,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5964500.0,0.0,0.0,1.0,01-01-2026,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False
Brand A,2026-01-11,Growify | 11Th June | Tof | Abo | India | Lal 3% - 5% | Sales,Paused,Unknown,Custom | Video 2 | Eoss | 15Th Dec 25 – Copy,Unknown,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11-01-2026,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False
Brand A,2026-01-21,Growify | 16Th June | Tof | India | Asc | Cac | Sales,Paused,Tof | Asc | Cac | India,Custom | Carousel | Eoss | 15Th Dec25 – Copy,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21-01-2026,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False
Brand A,2026-01-22,Growify | 16Th June | Tof | India | Asc | Cac | Sales,Paused,Tof | Asc | Cac | India,Custom | Carousel | Eoss | 15Th Dec25 – Copy,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22-01-2026,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False
Brand A,2026-01-18,Growify | 16Th June | Tof | India | Asc | Cac | Sales,Paused,Unknown,Custom | Carousel | Eoss | 15Th Dec25 – Copy,Unknown,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18-01-2026,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False
Brand A,2026-01-19,Growify | 16Th June | Tof | India | Asc | Cac | Sales,Paused,Tof | Asc | Cac | India,Custom | Carousel | Eoss | 15Th Dec25 – Copy,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,19-01-2026,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False
Brand A,2026-01-17,Growify | 16Th June | Tof | India | Asc | Cac | Sales,Paused,Tof | Asc | Cac | India,Custom | Carousel | Eoss | 15Th Dec25 – Copy,India,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17-01-2026,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False
